time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-04-03 00:00:00+00:00,101,69,257,98
2022-04-04 00:00:00+00:00,138,77,680,162
2022-04-05 00:00:00+00:00,232,75,868,145
2022-04-06 00:00:00+00:00,475,110,700,153
2022-04-07 00:00:00+00:00,427,135,844,146
2022-04-08 00:00:00+00:00,361,106,778,167
2022-04-09 00:00:00+00:00,270,109,413,123
2022-04-10 00:00:00+00:00,674,108,1125,123
2022-04-11 00:00:00+00:00,892,142,1708,198
2022-04-12 00:00:00+00:00,937,186,1276,228
2022-04-13 00:00:00+00:00,1536,199,1839,258
2022-04-14 00:00:00+00:00,999,185,1167,198
2022-04-15 00:00:00+00:00,1026,160,977,169
2022-04-16 00:00:00+00:00,522,122,359,93
