time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-04-22 00:00:00+00:00,340,93,877,121
2022-04-23 00:00:00+00:00,263,80,266,63
2022-04-24 00:00:00+00:00,256,77,329,82
2022-04-25 00:00:00+00:00,373,122,1363,135
2022-04-26 00:00:00+00:00,432,121,1153,150
2022-04-27 00:00:00+00:00,783,147,995,170
2022-04-28 00:00:00+00:00,535,101,1048,125
2022-04-29 00:00:00+00:00,253,99,591,143
2022-04-30 00:00:00+00:00,173,76,402,82
2022-05-01 00:00:00+00:00,174,62,260,79
2022-05-02 00:00:00+00:00,339,77,802,141
2022-05-03 00:00:00+00:00,289,99,616,139
2022-05-04 00:00:00+00:00,324,94,533,132
2022-05-05 00:00:00+00:00,413,96,677,122
