time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-04-28 00:00:00+00:00,535,101,1048,125
2022-04-29 00:00:00+00:00,253,99,591,143
2022-04-30 00:00:00+00:00,173,76,402,82
2022-05-01 00:00:00+00:00,174,62,260,79
2022-05-02 00:00:00+00:00,339,77,802,141
2022-05-03 00:00:00+00:00,289,99,616,139
2022-05-04 00:00:00+00:00,324,94,533,132
2022-05-05 00:00:00+00:00,420,100,681,125
2022-05-06 00:00:00+00:00,465,91,838,136
2022-05-07 00:00:00+00:00,172,70,329,83
2022-05-08 00:00:00+00:00,203,80,532,83
2022-05-09 00:00:00+00:00,383,108,904,147
2022-05-10 00:00:00+00:00,730,114,1132,148
2022-05-11 00:00:00+00:00,411,114,1196,185
