url_path,views_total,views_unique
/tendermint/starport,2649,1032
/tendermint/starport/pulls,742,40
/tendermint/starport/issues,556,107
/tendermint/starport/search,283,66
/tendermint/starport/tree/develop/starport,182,103
/tendermint/starport/releases,159,75
/tendermint/starport/issues/2156,130,72
/tendermint/starport/tree/develop/docs,127,79
/tendermint/starport/pull/2157,95,5
/tendermint/starport/issues/2171,86,23
